"year","state","dem_this_margin"
1976,"Alabama",0.133
1976,"Alaska",-0.238
1976,"Arizona",-0.172
1976,"Arkansas",0.301
1976,"California",-0.018
1976,"Colorado",-0.118
1976,"Connecticut",-0.052
1976,"Delaware",0.055
1976,"District of Columbia",0.664
1976,"Florida",0.054
1976,"Georgia",0.339
1976,"Hawaii",0.026
1976,"Idaho",-0.235
1976,"Illinois",-0.02
1976,"Indiana",-0.077
1976,"Iowa",-0.01
1976,"Kansas",-0.078
1976,"Kentucky",0.073
1976,"Louisiana",0.059
1976,"Maine",-0.009
1976,"Maryland",0.061
1976,"Massachusetts",0.162
1976,"Michigan",-0.055
1976,"Minnesota",0.133
1976,"Mississippi",0.019
1976,"Missouri",0.037
1976,"Montana",-0.076
1976,"Nebraska",-0.213
1976,"Nevada",-0.045
1976,"New Hampshire",-0.115
1976,"New Jersey",-0.022
1976,"New Mexico",-0.025
1976,"New York",0.069
1976,"North Carolina",0.111
1976,"North Dakota",-0.061
1976,"Ohio",0.002
1976,"Oklahoma",-0.012
1976,"Oregon",-0.002
1976,"Pennsylvania",0.027
1976,"Rhode Island",0.113
1976,"South Carolina",0.131
1976,"South Dakota",-0.015
1976,"Tennessee",0.131
1976,"Texas",0.032
1976,"Utah",-0.3
1976,"Vermont",-0.127
1976,"Virginia",-0.014
1976,"Washington",-0.04
1976,"West Virginia",0.161
1976,"Wisconsin",0.017
1976,"Wyoming",-0.197
1980,"Alabama",-0.014
1980,"Alaska",-0.346
1980,"Arizona",-0.364
1980,"Arkansas",-0.006
1980,"California",-0.189
1980,"Colorado",-0.279
1980,"Connecticut",-0.111
1980,"Delaware",-0.025
1980,"District of Columbia",0.696
1980,"Florida",-0.181
1980,"Georgia",0.153
1980,"Hawaii",0.022
1980,"Idaho",-0.45
1980,"Illinois",-0.087
1980,"Indiana",-0.196
1980,"Iowa",-0.141
1980,"Kansas",-0.27
1980,"Kentucky",-0.014
1980,"Louisiana",-0.056
1980,"Maine",-0.038
1980,"Maryland",0.032
1980,"Massachusetts",-0.002
1980,"Michigan",-0.071
1980,"Minnesota",0.044
1980,"Mississippi",-0.014
1980,"Missouri",-0.071
1980,"Montana",-0.273
1980,"Nebraska",-0.432
1980,"Nevada",-0.399
1980,"New Hampshire",-0.341
1980,"New Jersey",-0.148
1980,"New Mexico",-0.198
1980,"New York",0.017
1980,"North Carolina",-0.022
1980,"North Dakota",-0.42
1980,"Ohio",-0.115
1980,"Oklahoma",-0.267
1980,"Oregon",-0.111
1980,"Pennsylvania",-0.077
1980,"Rhode Island",0.123
1980,"South Carolina",-0.013
1980,"South Dakota",-0.313
1980,"Tennessee",-0.003
1980,"Texas",-0.143
1980,"Utah",-0.559
1980,"Vermont",-0.072
1980,"Virginia",-0.136
1980,"Washington",-0.142
1980,"West Virginia",0.047
1980,"Wisconsin",-0.052
1980,"Wyoming",-0.383
1984,"Alabama",-0.225
1984,"Alaska",-0.381
1984,"Arizona",-0.342
1984,"Arkansas",-0.225
1984,"California",-0.164
1984,"Colorado",-0.287
1984,"Connecticut",-0.22
1984,"Delaware",-0.199
1984,"District of Columbia",0.723
1984,"Florida",-0.307
1984,"Georgia",-0.204
1984,"Hawaii",-0.114
1984,"Idaho",-0.466
1984,"Illinois",-0.129
1984,"Indiana",-0.241
1984,"Iowa",-0.074
1984,"Kansas",-0.341
1984,"Kentucky",-0.207
1984,"Louisiana",-0.228
1984,"Maine",-0.221
1984,"Maryland",-0.055
1984,"Massachusetts",-0.028
1984,"Michigan",-0.191
1984,"Minnesota",0.002
1984,"Mississippi",-0.246
1984,"Missouri",-0.2
1984,"Montana",-0.226
1984,"Nebraska",-0.42
1984,"Nevada",-0.346
1984,"New Hampshire",-0.379
1984,"New Jersey",-0.21
1984,"New Mexico",-0.207
1984,"New York",-0.059
1984,"North Carolina",-0.241
1984,"North Dakota",-0.315
1984,"Ohio",-0.189
1984,"Oklahoma",-0.382
1984,"Oregon",-0.122
1984,"Pennsylvania",-0.074
1984,"Rhode Island",-0.037
1984,"South Carolina",-0.282
1984,"South Dakota",-0.266
1984,"Tennessee",-0.164
1984,"Texas",-0.276
1984,"Utah",-0.502
1984,"Vermont",-0.173
1984,"Virginia",-0.254
1984,"Washington",-0.137
1984,"West Virginia",-0.105
1984,"Wisconsin",-0.092
1984,"Wyoming",-0.428
1988,"Alabama",-0.195
1988,"Alaska",-0.243
1988,"Arizona",-0.215
1988,"Arkansas",-0.144
1988,"California",-0.036
1988,"Colorado",-0.079
1988,"Connecticut",-0.052
1988,"Delaware",-0.125
1988,"District of Columbia",0.705
1988,"Florida",-0.225
1988,"Georgia",-0.204
1988,"Hawaii",0.096
1988,"Idaho",-0.266
1988,"Illinois",-0.021
1988,"Indiana",-0.203
1988,"Iowa",0.103
1988,"Kansas",-0.135
1988,"Kentucky",-0.117
1988,"Louisiana",-0.104
1988,"Maine",-0.115
1988,"Maryland",-0.029
1988,"Massachusetts",0.08
1988,"Michigan",-0.08
1988,"Minnesota",0.071
1988,"Mississippi",-0.21
1988,"Missouri",-0.04
1988,"Montana",-0.06
1988,"Nebraska",-0.211
1988,"Nevada",-0.216
1988,"New Hampshire",-0.265
1988,"New Jersey",-0.138
1988,"New Mexico",-0.05
1988,"New York",0.068
1988,"North Carolina",-0.163
1988,"North Dakota",-0.132
1988,"Ohio",-0.109
1988,"Oklahoma",-0.168
1988,"Oregon",0.048
1988,"Pennsylvania",-0.023
1988,"Rhode Island",0.118
1988,"South Carolina",-0.241
1988,"South Dakota",-0.064
1988,"Tennessee",-0.164
1988,"Texas",-0.127
1988,"Utah",-0.348
1988,"Vermont",-0.036
1988,"Virginia",-0.207
1988,"Washington",0.016
1988,"West Virginia",0.048
1988,"Wisconsin",0.036
1988,"Wyoming",-0.228
1992,"Alabama",-0.076
1992,"Alaska",-0.131
1992,"Arizona",-0.026
1992,"Arkansas",0.2
1992,"California",0.17
1992,"Colorado",0.056
1992,"Connecticut",0.083
1992,"Delaware",0.104
1992,"District of Columbia",0.806
1992,"Florida",-0.024
1992,"Georgia",0.007
1992,"Hawaii",0.134
1992,"Idaho",-0.193
1992,"Illinois",0.172
1992,"Indiana",-0.077
1992,"Iowa",0.075
1992,"Kansas",-0.071
1992,"Kentucky",0.037
1992,"Louisiana",0.053
1992,"Maine",0.121
1992,"Maryland",0.166
1992,"Massachusetts",0.242
1992,"Michigan",0.092
1992,"Minnesota",0.154
1992,"Mississippi",-0.099
1992,"Missouri",0.13
1992,"Montana",0.034
1992,"Nebraska",-0.226
1992,"Nevada",0.036
1992,"New Hampshire",0.016
1992,"New Jersey",0.028
1992,"New Mexico",0.103
1992,"New York",0.242
1992,"North Carolina",-0.009
1992,"North Dakota",-0.157
1992,"Ohio",0.023
1992,"Oklahoma",-0.112
1992,"Oregon",0.133
1992,"Pennsylvania",0.111
1992,"Rhode Island",0.237
1992,"South Carolina",-0.047
1992,"South Dakota",-0.045
1992,"Tennessee",0.052
1992,"Texas",-0.045
1992,"Utah",-0.275
1992,"Vermont",0.205
1992,"Virginia",-0.051
1992,"Washington",0.152
1992,"West Virginia",0.155
1992,"Wisconsin",0.056
1992,"Wyoming",-0.076
1996,"Alabama",-0.075
1996,"Alaska",-0.209
1996,"Arizona",0.024
1996,"Arkansas",0.187
1996,"California",0.144
1996,"Colorado",-0.015
1996,"Connecticut",0.207
1996,"Delaware",0.172
1996,"District of Columbia",0.802
1996,"Florida",0.063
1996,"Georgia",-0.013
1996,"Hawaii",0.286
1996,"Idaho",-0.216
1996,"Illinois",0.192
1996,"Indiana",-0.063
1996,"Iowa",0.115
1996,"Kansas",-0.201
1996,"Kentucky",0.011
1996,"Louisiana",0.131
1996,"Maine",0.253
1996,"Maryland",0.173
1996,"Massachusetts",0.373
1996,"Michigan",0.146
1996,"Minnesota",0.188
1996,"Mississippi",-0.055
1996,"Missouri",0.071
1996,"Montana",-0.034
1996,"Nebraska",-0.211
1996,"Nevada",0.012
1996,"New Hampshire",0.112
1996,"New Jersey",0.199
1996,"New Mexico",0.08
1996,"New York",0.355
1996,"North Carolina",-0.051
1996,"North Dakota",-0.078
1996,"Ohio",0.072
1996,"Oklahoma",-0.088
1996,"Oregon",0.094
1996,"Pennsylvania",0.103
1996,"Rhode Island",0.38
1996,"South Carolina",-0.062
1996,"South Dakota",-0.039
1996,"Tennessee",0.026
1996,"Texas",-0.053
1996,"Utah",-0.24
1996,"Vermont",0.264
1996,"Virginia",-0.021
1996,"Washington",0.144
1996,"West Virginia",0.167
1996,"Wisconsin",0.118
1996,"Wyoming",-0.15
2000,"Alabama",-0.152
2000,"Alaska",-0.359
2000,"Arizona",-0.066
2000,"Arkansas",-0.056
2000,"California",0.124
2000,"Colorado",-0.09
2000,"Connecticut",0.185
2000,"Delaware",0.135
2000,"District of Columbia",0.81
2000,"Florida",0
2000,"Georgia",-0.12
2000,"Hawaii",0.197
2000,"Idaho",-0.417
2000,"Illinois",0.124
2000,"Indiana",-0.16
2000,"Iowa",0.003
2000,"Kansas",-0.218
2000,"Kentucky",-0.155
2000,"Louisiana",-0.079
2000,"Maine",0.055
2000,"Maryland",0.169
2000,"Massachusetts",0.296
2000,"Michigan",0.053
2000,"Minnesota",0.026
2000,"Mississippi",-0.172
2000,"Missouri",-0.034
2000,"Montana",-0.273
2000,"Nebraska",-0.304
2000,"Nevada",-0.037
2000,"New Hampshire",-0.013
2000,"New Jersey",0.164
2000,"New Mexico",0.001
2000,"New York",0.272
2000,"North Carolina",-0.129
2000,"North Dakota",-0.295
2000,"Ohio",-0.037
2000,"Oklahoma",-0.222
2000,"Oregon",0.005
2000,"Pennsylvania",0.043
2000,"Rhode Island",0.313
2000,"South Carolina",-0.163
