"contribution_receipt_date","committee_name","Total"
2020-01-01,"BIDEN",62561
2020-01-01,"TRUMP",82354.6
2020-01-02,"BIDEN",167698
2020-01-02,"TRUMP",120505.4
2020-01-03,"BIDEN",179955.15
2020-01-03,"TRUMP",92431
2020-01-04,"BIDEN",79317.14
2020-01-04,"TRUMP",72316.91
2020-01-05,"BIDEN",135871.72
2020-01-05,"TRUMP",51180.31
2020-01-06,"BIDEN",218510.25
2020-01-06,"TRUMP",114744.46
2020-01-07,"BIDEN",221116
2020-01-07,"TRUMP",178272.4
2020-01-08,"BIDEN",143300
2020-01-08,"TRUMP",191431.15
2020-01-09,"BIDEN",155468
2020-01-09,"TRUMP",262976.91
2020-01-10,"BIDEN",122770.5
2020-01-10,"TRUMP",189821.74
2020-01-11,"BIDEN",69358.14
2020-01-11,"TRUMP",157543.48
2020-01-12,"BIDEN",70168
2020-01-12,"TRUMP",39890.41
2020-01-13,"BIDEN",152102
2020-01-13,"TRUMP",155569.53
2020-01-14,"BIDEN",154039
2020-01-14,"TRUMP",180734.18
2020-01-15,"BIDEN",136329.99
2020-01-15,"TRUMP",218558.81
2020-01-16,"BIDEN",109467
2020-01-16,"TRUMP",136116.12
2020-01-17,"BIDEN",106509
2020-01-17,"TRUMP",222237.59
2020-01-18,"BIDEN",59451
2020-01-18,"TRUMP",72532.41
2020-01-19,"BIDEN",50464
2020-01-19,"TRUMP",73328.25
2020-01-20,"BIDEN",72219
2020-01-20,"TRUMP",56824.33
2020-01-21,"BIDEN",117855.73
2020-01-21,"TRUMP",374859.42
2020-01-22,"BIDEN",111460
2020-01-22,"TRUMP",186291.12
2020-01-23,"BIDEN",119473
2020-01-23,"TRUMP",254343.7
2020-01-24,"BIDEN",146501.1
2020-01-24,"TRUMP",166301.88
2020-01-25,"BIDEN",78850
2020-01-25,"TRUMP",128187.34
2020-01-26,"BIDEN",70705.93
2020-01-26,"TRUMP",82734.25
2020-01-27,"BIDEN",138701
2020-01-27,"TRUMP",205266.25
2020-01-28,"BIDEN",139130.99
2020-01-28,"TRUMP",417500.43
2020-01-29,"BIDEN",152758
2020-01-29,"TRUMP",374225.2
2020-01-30,"BIDEN",206166
2020-01-30,"TRUMP",308358.56
2020-01-31,"BIDEN",224015
2020-01-31,"TRUMP",441777.12
2020-02-01,"BIDEN",100420.06
2020-02-01,"TRUMP",103615.12
2020-02-02,"BIDEN",93515.1
2020-02-02,"TRUMP",85155.56
2020-02-03,"BIDEN",157557.59
2020-02-03,"TRUMP",432705.46
2020-02-04,"BIDEN",81542.05
2020-02-04,"TRUMP",576824.55
2020-02-05,"BIDEN",126776.28
2020-02-05,"TRUMP",479759.86
2020-02-06,"BIDEN",147929.72
2020-02-06,"TRUMP",335113.9
2020-02-07,"BIDEN",133538.91
2020-02-07,"TRUMP",599501.92
2020-02-08,"BIDEN",53886
2020-02-08,"TRUMP",164773.98
2020-02-09,"BIDEN",52933.75
2020-02-09,"TRUMP",97472.95
2020-02-10,"BIDEN",104202
2020-02-10,"TRUMP",476107.31
2020-02-11,"BIDEN",112743
2020-02-11,"TRUMP",645395.13
2020-02-12,"BIDEN",59855.22
2020-02-12,"TRUMP",650990.45
2020-02-13,"BIDEN",115863.13
2020-02-13,"TRUMP",705636.1
2020-02-14,"BIDEN",34744
2020-02-14,"TRUMP",370033.08
2020-02-15,"BIDEN",26841.66
2020-02-15,"TRUMP",54634.51
2020-02-16,"BIDEN",26504
2020-02-16,"TRUMP",51903.19
2020-02-17,"BIDEN",87391.95
2020-02-17,"TRUMP",81085.52
2020-02-18,"BIDEN",105260.59
2020-02-18,"TRUMP",571182.68
2020-02-19,"BIDEN",120697
2020-02-19,"TRUMP",482840.93
2020-02-20,"BIDEN",132169.17
2020-02-20,"TRUMP",298944.21
2020-02-21,"BIDEN",120715.05
2020-02-21,"TRUMP",221809.87
2020-02-22,"BIDEN",97033.63
2020-02-22,"TRUMP",123934.6
2020-02-23,"BIDEN",122647.79
2020-02-23,"TRUMP",75338.37
2020-02-24,"BIDEN",183560.34
2020-02-24,"TRUMP",207699.18
2020-02-25,"BIDEN",137371.53
2020-02-25,"TRUMP",311300.96
2020-02-26,"BIDEN",293281
2020-02-26,"TRUMP",513883.2
2020-02-27,"BIDEN",401887.47
2020-02-27,"TRUMP",515734.83
2020-02-28,"BIDEN",298858.63
2020-02-28,"TRUMP",373578.34
2020-02-29,"BIDEN",2131569.24
2020-02-29,"TRUMP",167208.44
2020-03-01,"BIDEN",2771979.11
2020-03-01,"TRUMP",95388.33
2020-03-02,"BIDEN",2101262.69
2020-03-02,"TRUMP",397326.25
2020-03-03,"BIDEN",1365394.81
2020-03-03,"TRUMP",403022.5
2020-03-04,"BIDEN",3659528.78
2020-03-04,"TRUMP",418937.22
2020-03-05,"BIDEN",1394079.67
2020-03-05,"TRUMP",495080.15
2020-03-06,"BIDEN",940123.49
2020-03-06,"TRUMP",242265.9
2020-03-07,"BIDEN",586780.66
2020-03-07,"TRUMP",61769.57
2020-03-08,"BIDEN",633522.84
2020-03-08,"TRUMP",47180.43
2020-03-09,"BIDEN",779764.96
2020-03-09,"TRUMP",195639.04
2020-03-10,"BIDEN",835263.1
2020-03-10,"TRUMP",172654.76
2020-03-11,"BIDEN",686820.36
2020-03-11,"TRUMP",171580.97
2020-03-12,"BIDEN",381278.66
2020-03-12,"TRUMP",365933.46
2020-03-13,"BIDEN",444667.16
2020-03-13,"TRUMP",175156.15
2020-03-14,"BIDEN",153418.35
2020-03-14,"TRUMP",15152.6
2020-03-15,"BIDEN",263664.51
2020-03-15,"TRUMP",37220.66
