"oc_str_sp","freq"
"RETIRED",128407
"ENTREPRENEUR",10140
"OWNER",9069
"MANAGER",7746
"ENGINEER",6866
"PHYSICIAN",6622
"SALES",6347
"CEO",5267
"REALESTATE",5087
"PRESIDENT",4838
"SELF EMPLOYED",4130
"ATTORNEY",4020
"HOMEMAKER",3806
"CONSULTANT",3278
"ACTOR",3243
"BUSINESS",3176
"EXECUTIVE",3014
"CONTR",2893
"VICE PRESIDENT",2214
"DIRECTOR",2146
"CONSTRUCTION",2035
"NOT EMPLOYED",2007
"ACCOUNTANT",2004
"FARMER",1978
"INSURANCE",1752
"MANAGEMENT",1516
"REALTOR",1453
"BROKER",1441
"FINANCIAL",1402
"DENTIST",1323
"ADMINISTRATOR",1314
"CPA",1292
"DRIVER",1278
"ADVISOR",1254
"INVESTOR",1133
"PILOT",1130
"DEVELOPER",1109
"OFFICER",1095
"LAWYER",1082
"TEACHER",1022
"TECH",993
"SOFTWARE",959
"ANALYST",942
"NURSE",942
"AGENT",896
"SURGEON",892
"OFFICE",798
"FINANCE",796
"TECHNICIAN",796
"CFO",793
