votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
7503,19838,27770,0.270183651,0.714368023,12335,0.444184372,AL,Autauga County,1001
24578,83544,109679,0.2240903,0.761713728,58966,0.537623428,AL,Baldwin County,1003
4816,5622,10518,0.457881727,0.534512265,806,0.076630538,AL,Barbour County,1005
1986,7525,9595,0.206982804,0.784262637,5539,0.577279833,AL,Bibb County,1007
2640,24711,27588,0.09569378,0.895715528,22071,0.800021749,AL,Blount County,1009
3446,1146,4613,0.747019293,0.248428355,-2300,-0.498590939,AL,Bullock County,1011
3965,5458,9488,0.41789629,0.575252951,1493,0.157356661,AL,Butler County,1013
15216,35101,50983,0.298452425,0.688484397,19885,0.390031971,AL,Calhoun County,1015
6365,8753,15284,0.416448574,0.572690395,2388,0.156241822,AL,Chambers County,1017
1624,10583,12301,0.132021787,0.860336558,8959,0.728314771,AL,Cherokee County,1019
3073,16085,19310,0.159140342,0.832988089,13012,0.673847747,AL,Chilton County,1021
3127,4296,7464,0.418944266,0.575562701,1169,0.156618435,AL,Choctaw County,1023
5755,7324,13135,0.438142368,0.557594214,1569,0.119451846,AL,Clarke County,1025
1267,5601,6930,0.182828283,0.808225108,4334,0.625396825,AL,Clay County,1027
675,6484,7227,0.093399751,0.897191089,5809,0.803791338,AL,Cleburne County,1029
5076,16899,22275,0.227878788,0.758653199,11823,0.530774411,AL,Coffee County,1031
8343,19203,27886,0.299182385,0.688625117,10860,0.389442731,AL,Colbert County,1033
2966,3442,6441,0.460487502,0.53438907,476,0.073901568,AL,Conecuh County,1035
1796,3631,5479,0.327797043,0.662712174,1835,0.33491513,AL,Coosa County,1037
2721,14586,17430,0.156110155,0.836833046,11865,0.680722892,AL,Covington County,1039
1700,4864,6617,0.256914009,0.735076319,3164,0.478162309,AL,Crenshaw County,1041
4478,36880,41851,0.106998638,0.881221476,32402,0.774222838,AL,Cullman County,1043
5170,14303,19738,0.2619313,0.724642821,9133,0.462711521,AL,Dale County,1045
12230,5524,17864,0.684617107,0.309225258,-6706,-0.37539185,AL,Dallas County,1047
4281,24767,29356,0.145830495,0.843677613,20486,0.697847118,AL,DeKalb County,1049
10367,30164,41030,0.252668779,0.735169388,19797,0.482500609,AL,Elmore County,1051
4918,10869,15910,0.309113765,0.683155248,5951,0.374041483,AL,Escambia County,1053
11567,35528,47728,0.242352497,0.744384847,23961,0.50203235,AL,Etowah County,1055
1395,7300,8766,0.159137577,0.832762948,5905,0.673625371,AL,Fayette County,1057
2086,10376,12578,0.165845126,0.824932422,8290,0.659087295,AL,Franklin County,1059
1595,10848,12545,0.127142288,0.864726983,9253,0.737584695,AL,Geneva County,1061
