disbursement_date,AMY_KLOBUCHAR,BERNIE_SANDERS,JOE_BIDEN,BROCK_PIERCE,CORY_BOOKER,DONALD_TRUMP,ANDREW_YANG,JOHN_DELANEY,JO_JORGENSEN,KAMALA_HARRIS,KANYE_WEST,MIKE_BLOOMBERG,ROQUE_DE_LA_FUNTE,TOM_STEYER,ELIZABETH_WARREN
1/5/20,1319211.76,1482165.06,2083128.64,0,1793916.83,10635770.39,902849.78,59195.69,65.6,3021.44,0,774030.07,58469.9,2132944.54,6340280.32
1/12/20,3227686.41,6602664.82,4769803.79,0,2344621.25,12432827.96,2781802.52,212245.12,1085.46,435263.15,0,79737301.21,58486.9,17232803.18,9094974.18
1/19/20,5565734.98,16571631.38,8419949.81,0,3967603.94,14335830.68,5626163.32,325913.84,3335.96,511795.81,0,96243662.75,103931.34,34130615.49,14908980.42
1/26/20,6118182.54,20647061.8,10028081.7,0,4049317.1,16169043.05,7005142.02,428386.59,4670.72,574259.54,0,147557614,123931.34,45472688.35,17690987.26
2/2/20,8874739.67,32476030.34,13995450.79,0,4273310.41,17086219.13,8668679.74,563471.12,6074.62,665157.61,0,225775456.8,132041.3,62184219.57,23280981.42
2/9/20,10919743.96,44382390.87,16808953.2,0,5855854.08,21886045.26,10817816.03,678744.43,7807.78,665744.05,0,296039499.3,173191.06,80890349.75,26012811.95
2/16/20,17242881.67,56335581.57,21266420.23,0,5981942.04,25869193.2,12626185.9,764063.4,10030.93,731960.9,0,446986734.9,187722.51,99682098.87,31492861.15
2/23/20,20166207.01,65065638.19,23174440.74,0,6560693.31,27231730.75,12989612.06,809548.14,11077.68,744462.88,0,584320095.4,222177.4,124047309.6,35473125.79
3/1/20,26717506.67,84898061.42,30362183.88,0,6828519.44,30479713.99,15002172.86,933553.33,12961.94,937746.27,0,700113457.2,222990.11,167344125.5,44851500.23
3/8/20,27474034.45,107455000.5,47593967.27,0,6997042.94,32508860.73,15413882.96,970778.54,14410.99,981991.48,0,721500351.6,235851.58,169461920.6,49523181.44
3/15/20,31151314.26,117227741.3,57742528.96,0,7462918.76,36668334.29,15793539.31,1000962.64,15898.11,1243974.88,0,762574474.1,269900.45,172910871.1,52627173.61
