abbr,full,totalRegistered,Pop,registeredPerc,ALL_RECEIPT_AMOUNT,BIDEN_RECEIPT_AMOUNT,TRUMP_RECEIPT_AMOUNT,ALL_CONTRIB_PP,BIDEN_CONTRIB_PP,TRUMP_CONTRIB_PP
AL,Alabama,3708804,4908620,0.7556,9485688,2386831,6127360,2.56,0.64,1.65
AK,Alaska,597319,734002,0.8138,3364922,1144885,1615410,5.63,1.92,2.7
AZ,Arizona,4281152,7378490,0.5802,25748352,8104635,13899543,6.01,1.89,3.25
AR,Arkansas,1755775,3039000,0.5777,5507987,1823395,2959972,3.14,1.04,1.69
CA,California,22047448,39937500,0.552,262145493,127027582,58159286,11.89,5.76,2.64
CO,Colorado,4238513,5845530,0.7251,33430715,14504183,10007791,7.89,3.42,2.36
CT,Connecticut,2375537,3563080,0.6667,19796783,10923927,4010655,8.33,4.6,1.69
DE,Delaware,738563,982895,0.7514,5917684,4290806,1133551,8.01,5.81,1.53
DC,District of Columbia,517890,"720,687",0.7186,26862928,19187562,872606,51.87,37.05,1.68
FL,Florida,14065627,21993000,0.6396,91180833,31330098,48762267,6.48,2.23,3.47
GA,Georgia,7233584,10736100,0.6738,30301044,10585023,15097158,4.19,1.46,2.09
HI,Hawaii,830000,1412690,0.5875,5055431,1913915,1668580,6.09,2.31,2.01
ID,Idaho,1010984,1826160,0.5536,5605520,1847229,3021206,5.54,1.83,2.99
IL,Illinois,8036534,12659700,0.6348,46760752,22696040,11840373,5.82,2.82,1.47
IN,Indiana,4585024,6745350,0.6797,14782492,4233028,6855720,3.22,0.92,1.5
IA,Iowa,2245096,3179850,0.706,7197913,2397938,2881969,3.21,1.07,1.28
KS,Kansas,1851397,2910360,0.6361,6978099,2081269,3859392,3.77,1.12,2.08
KY,Kentucky,3565428,4499690,0.7924,7894743,2537049,4107447,2.21,0.71,1.15
LA,Louisiana,3091340,4645180,0.6655,10412953,2695366,6534141,3.37,0.87,2.11
ME,Maine,1063383,1345790,0.7902,5056645,2500072,1146355,4.76,2.35,1.08
MD,Maryland,4141498,6083120,0.6808,37384650,23150766,6483262,9.03,5.59,1.57
MA,Massachusetts,4812909,6976600,0.6899,54437960,29925150,6553317,11.31,6.22,1.36
MI,Michigan,8127040,10045000,0.8091,27611600,10519362,11999051,3.4,1.29,1.48
MN,Minnesota,3588563,5700670,0.6295,21819361,8885987,5947858,6.08,2.48,1.66
MS,Mississippi,1985928,2989260,0.6644,4288901,809839,3174273,2.16,0.41,1.6
MO,Missouri,4213092,6169270,0.6829,14772914,5447940,6914329,3.51,1.29,1.64
MT,Montana,696292,1086760,0.6407,4366814,1173107,2169906,6.27,1.68,3.12
NE,Nebraska,1252089,1952570,0.6413,4069106,1155969,2235625,3.25,0.92,1.79
NV,Nevada,1821356,3139660,0.5801,12947202,3779632,7212642,7.11,2.08,3.96
NH,New Hampshire,998537,1371250,0.7282,7305908,2989185,2050630,7.32,2.99,2.05
NJ,New Jersey,6486299,8936570,0.7258,38411032,16751553,11170358,5.92,2.58,1.72
NM,New Mexico,1350181,2096640,0.644,9400888,3959311,3503939,6.96,2.93,2.6
NY,New York,13555547,19440500,0.6973,130814204,63031407,27126858,9.65,4.65,2
NC,North Carolina,7361219,10611900,0.6937,29828054,12297113,12816047,4.05,1.67,1.74
ND,North Dakota,581379,761723,0.7632,1732563,294601,1221598,2.98,0.51,2.1
OH,Ohio,7774767,11747700,0.6618,29529715,11202486,13665119,3.8,1.44,1.76
OK,Oklahoma,2259113,3954820,0.5712,9344494,2171563,5996366,4.14,0.96,2.65
OR,Oregon,2924292,4301090,0.6799,22324102,10687669,5547552,7.63,3.65,1.9
PA,Pennsylvania,9091371,12820900,0.7091,44817569,23165369,13578727,4.93,2.55,1.49
RI,Rhode Island,809821,1056160,0.7668,4236040,2364886,787094,5.23,2.92,0.97
SC,South Carolina,3513225,5210100,0.6743,12597217,4251558,6697286,3.59,1.21,1.91
SD,South Dakota,578666,903027,0.6408,2118645,565062,1260963,3.66,0.98,2.18
TN,Tennessee,3931248,6897580,0.5699,17804703,6074457,9261376,4.53,1.55,2.36
TX,Texas,16211198,29472300,0.55,97883431,28225424,52466079,6.04,1.74,3.24
UT,Utah,1857861,3282120,0.5661,7140588,2681777,3136755,3.84,1.44,1.69
VT,Vermont,495267,628061,0.7886,3962036,1949096,365949,8,3.94,0.74
VA,Virginia,5975696,8626210,0.6927,42096957,23165516,11129890,7.04,3.88,1.86
WA,Washington,4861482,7797100,0.6235,52330293,26383302,9926957,10.76,5.43,2.04
WV,West Virginia,1268460,1778070,0.7134,2736017,879636,1464204,2.16,0.69,1.15
WI,Wisconsin,3684726,5851750,0.6297,14165945,5723148,5507684,3.84,1.55,1.49
WY,Wyoming,268837,567025,0.4741,2635554,889734,1391499,9.8,3.31,5.18
