state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,2016 Margin,Total 2016 Votes
U.S. Total,No,No,79847244.00 ,73801592.00 ,2862881.00 ,0.51 ,0.47 ,0.02 ,0.04 ,0.02 ,0.15 ,,,,,,,,0.02 ,136639848.00 
15 Key Battlegrounds,,,31909681.00 ,32998818.00 ,950456.00 ,0.49 ,0.50 ,0.01 ,(0.02),0.02 ,0.17 ,,,,,,,,(0.04),56209173.00 
Non-Battlegrounds,,,47936694.00 ,40801387.00 ,1910727.00 ,0.53 ,0.45 ,0.02 ,0.08 ,0.02 ,0.13 ,,,,,,,,0.06 ,80430331.00 
15 Key Battlegrounds,,,,,,,,,,,,,,,,,,,,
Arizona,D,No,1672143.00 ,1661686.00 ,51465.00 ,0.49 ,0.49 ,0.02 ,0.00 ,0.04 ,0.32 ,AZ,11.00 ,2.00 ,2.00 ,4.00 ,205.00 ,374.00 ,(0.04),2573165.00 
Florida,R,Yes,5297045.00 ,5668731.00 ,101680.00 ,0.48 ,0.51 ,0.01 ,(0.03),(0.02),0.18 ,FL,29.00 ,8.00 ,0.00 ,12.00 ,787.00 ,520.00 ,(0.01),9420039.00 
Georgia,D,Yes,2474507.00 ,2461837.00 ,62138.00 ,0.50 ,0.49 ,0.01 ,0.00 ,0.05 ,0.22 ,GA,16.00 ,7.00 ,1.00 ,13.00 ,734.00 ,419.00 ,(0.05),4092373.00 
Iowa,R,No,759061.00 ,897672.00 ,34138.00 ,0.45 ,0.53 ,0.02 ,(0.08),0.01 ,0.08 ,IA,6.00 ,5.00 ,4.00 ,19.00 ,536.00 ,223.00 ,(0.09),1566031.00 
Maine 2nd District,R,No,166589.00 ,196187.00 ,9529.00 ,0.45 ,0.53 ,0.03 ,(0.08),0.02 ,0.05 ,ME2,1.00 ,12.00 ,8.00 ,102.00 ,919.00 ,92.00 ,(0.10),353416.00 
Michigan,D,No,2806899.00 ,2651270.00 ,84320.00 ,0.51 ,0.48 ,0.02 ,0.03 ,0.03 ,0.16 ,MI,16.00 ,7.00 ,5.00 ,26.00 ,681.00 ,190.00 ,(0.00),4799284.00 
Minnesota,D,No,1716818.00 ,1483982.00 ,76015.00 ,0.52 ,0.45 ,0.02 ,0.07 ,0.06 ,0.11 ,MN,10.00 ,5.00 ,5.00 ,27.00 ,519.00 ,120.00 ,0.02 ,2944813.00 
Nebraska 2nd District,D,No,175393.00 ,152301.00 ,6842.00 ,0.52 ,0.46 ,0.02 ,0.07 ,0.09 ,0.15 ,NE2,1.00 ,12.00 ,6.00 ,104.00 ,438.00 ,238.00 ,(0.02),291680.00 
