state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,2016 Margin,Total 2016 Votes,,
U.S. Total,D,No,"81,281,890","74,222,108","2,884,357",0.5132 ,0.4686 ,0.0182 ,0.0446 ,0.0236 ,0.1592 ,,,,,,,,0.020994559,"136,639,848",,
15 Key Battlegrounds,,,"31,910,788","33,002,842","950,274",0.4845 ,0.5011 ,0.0144 ,-0.0166 ,0.0196 ,0.1718 ,,,,,,,,-0.036219533,"56,209,173",,
Non-Battlegrounds,,,"49,371,102","41,219,266","1,934,083",0.5336 ,0.4455 ,0.0209 ,0.0881 ,0.0271 ,0.1504 ,,,,,,,,0.060978439,"80,430,331",,
15 Key Battlegrounds,,,,,,,,,,,,,,,,,,,,,,
Arizona,D,Yes,"1,672,143","1,661,686","53,497",0.4936 ,0.4906 ,0.0158 ,0.0031 ,0.0385 ,0.3164 ,AZ,11,2,2,4,205,374,-0.035455946,"2,573,165",,
Florida,R,Yes,"5,297,045","5,668,731","101,680",0.4786 ,0.5122 ,0.0092 ,-0.0336 ,-0.0216 ,0.1749 ,FL,29,8,0,12,787,520,-0.011986256,"9,420,039",,
Georgia,D,Yes,"2,474,507","2,461,837","62,138",0.4951 ,0.4925 ,0.0124 ,0.0025 ,0.0538 ,0.2214 ,GA,16,7,1,13,734,419,-0.051313427,"4,092,373",,
Iowa,R,Yes,"759,061","897,672","34,138",0.4489 ,0.5309 ,0.0202 ,-0.0820 ,0.0121 ,0.0797 ,IA,6,5,4,19,536,223,-0.094068381,"1,566,031",,
Maine 2nd District,R,Yes,"168,696","196,692","10,961",0.4482 ,0.5226 ,0.0291 ,-0.0744 ,0.0285 ,0.0649 ,ME2,1,12,8,102,919,92,-0.10288159,"353,416",,
Michigan,D,Yes,"2,804,040","2,649,852","85,410",0.5062 ,0.4784 ,0.0154 ,0.0278 ,0.0301 ,0.1542 ,MI,16,7,5,26,681,190,-0.002230333,"4,799,284",,
Minnesota,D,Yes,"1,717,049","1,484,048","76,023",0.5240 ,0.4529 ,0.0232 ,0.0711 ,0.0559 ,0.1128 ,MN,10,5,5,27,519,120,0.015201305,"2,944,813",,
Nebraska 2nd District,D,Yes,"176,468","154,377","6,909",0.5225 ,0.4571 ,0.0205 ,0.0654 ,0.0878 ,0.1580 ,NE2,1,12,6,104,438,238,-0.022401262,"291,680",,
Nevada,D,Yes,"703,486","669,890","32,000",0.5006 ,0.4767 ,0.0228 ,0.0239 ,-0.0003 ,0.2488 ,NV,6,2,4,32,136,240,0.024171284,"1,125,385",,
New Hampshire,D,Yes,"424,921","365,654","15,607",0.5271 ,0.4536 ,0.0194 ,0.0735 ,0.0698 ,0.0833 ,NH,4,11,6,33,895,146,0.003675957,"744,158",,
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",0.4859 ,0.4993 ,0.0148 ,-0.0135 ,0.0231 ,0.1652 ,NC,15,7,2,37,808,349,-0.036552285,"4,741,564",,
Ohio,R,Yes,"2,679,165","3,154,834","88,203",0.4524 ,0.5327 ,0.0149 ,-0.0803 ,0.0010 ,0.0775 ,OH,18,7,4,39,720,250,-0.081295744,"5,496,487",,
