state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,2016 Margin,Total 2016 Votes
U.S. Total,D,Yes,"81,281,502","74,222,593","2,890,510",0.5130,0.4690,0.0180,0.0450,0.0240,0.1590,,,,,,,,0.020994559,"136,639,848"
15 Key Battlegrounds,,,"31,909,914","33,002,859","950,365",0.4840,0.5010,0.0140,-0.0170,0.0200,0.1720,,,,,,,,-0.036219533,"56,209,173"
Non-Battlegrounds,,,"49,371,588","41,219,734","1,940,145",0.5340,0.4450,0.0210,0.0880,0.0270,0.1500,,,,,,,,0.060978439,"80,430,331"
15 Key Battlegrounds,,,,,,,,,,,,,,,,,,,,
Arizona,D,Yes,"1,672,143","1,661,686","53,497",0.4940,0.4910,0.0160,0.0030,0.0390,0.3160,AZ,11,2,2,4,205,374,-0.035455946,"2,573,165"
Florida,R,Yes,"5,297,045","5,668,731","101,680",0.4790,0.5120,0.0090,-0.0340,-0.0220,0.1750,FL,29,8,0,12,787,520,-0.011986256,"9,420,039"
Georgia,D,Yes,"2,473,633","2,461,854","62,229",0.4950,0.4930,0.0120,0.0020,0.0540,0.2210,GA,16,7,1,13,734,419,-0.051313427,"4,092,373"
Iowa,R,Yes,"759,061","897,672","34,138",0.4490,0.5310,0.0200,-0.0820,0.0120,0.0800,IA,6,5,4,19,536,223,-0.094068381,"1,566,031"
Maine 2nd District,R,Yes,"168,696","196,692","10,961",0.4480,0.5230,0.0290,-0.0740,0.0280,0.0650,ME2,1,12,8,102,919,92,-0.10288159,"353,416"
Michigan,D,Yes,"2,804,040","2,649,852","85,410",0.5060,0.4780,0.0150,0.0280,0.0300,0.1540,MI,16,7,5,26,681,190,-0.002230333,"4,799,284"
Minnesota,D,Yes,"1,717,049","1,484,048","76,023",0.5240,0.4530,0.0230,0.0710,0.0560,0.1130,MN,10,5,5,27,519,120,0.015201305,"2,944,813"
Nebraska 2nd District,D,Yes,"176,468","154,377","6,909",0.5220,0.4570,0.0200,0.0650,0.0880,0.1580,NE2,1,12,6,104,438,238,-0.022401262,"291,680"
Nevada,D,Yes,"703,486","669,890","32,000",0.5010,0.4770,0.0230,0.0240,0.0000,0.2490,NV,6,2,4,32,136,240,0.024171284,"1,125,385"
New Hampshire,D,Yes,"424,921","365,654","15,607",0.5270,0.4540,0.0190,0.0740,0.0700,0.0830,NH,4,11,6,33,895,146,0.003675957,"744,158"
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",0.4860,0.4990,0.0150,-0.0130,0.0230,0.1650,NC,15,7,2,37,808,349,-0.036552285,"4,741,564"
Ohio,R,Yes,"2,679,165","3,154,834","88,203",0.4520,0.5330,0.0150,-0.0800,0.0010,0.0770,OH,18,7,4,39,720,250,-0.081295744,"5,496,487"
