"oc_str_sp","freq"
"NOT EMPLOYED",184610
"ATTORNEY",44862
"RETIRED",42739
"PHYSICIAN",22654
"ENGINEER",21150
"CONSULTANT",20248
"MANAGER",18769
"PROFESSOR",16544
"EXECUTIVE",14811
"LAWYER",14311
"DIRECTOR",14025
"SOFTWARE",10694
"TEACHER",6835
"CEO",6412
"OWNER",6275
"BUSINESS",6046
"SALES",5740
"REALESTATE",5650
"WRITER",5591
"VICE PRESIDENT",5378
"SCIENTIST",5129
"MARKETING",4749
"ADMINISTRATOR",4630
"ANALYST",4224
"OFFICER",4026
"PRESIDENT",3845
"MANAGEMENT",3627
"SELF EMPLOYED",3464
"FINANCE",3423
"ARCHITECT",3277
"DESIGNER",3203
"SENIOR",3059
"CHIEF",3022
"ACCOUNTANT",2985
"INVESTOR",2980
"PSYCHOLOGIST",2944
"DEVELOPER",2674
"HOMEMAKER",2568
"ADVISOR",2519
"FINANCIAL",2488
"DEVELOPMENT",2437
"RESEARCH",2388
"PRODUCT",2376
"TECH",2348
"PROGRAM",2189
"ASSISTANT",2151
"THERAPIST",2140
"PRODUCER",2129
"ARTIST",2121
"DOCTOR",2032
